epoch,train_loss,eval_loss,eval_top1
283,2.2576795927846325,1.3199391035079957,64.29
284,2.261340656598002,1.3184789960861205,64.2
285,2.25165089480245,1.320045446586609,64.01
286,2.2498074359380937,1.3085287101745606,64.53
287,2.2406628809573554,1.319498233318329,64.33
288,2.2507945271673946,1.3123427668571472,64.32
289,2.247633912957127,1.3198897539138794,64.22
290,2.2437630214092827,1.322223090171814,64.62
291,2.24530211071962,1.3277364108085632,64.11
292,2.2389944419360193,1.3092193120956421,64.7
293,2.252908865254606,1.317976954460144,64.21
294,2.237380318543975,1.3115929168701173,64.53
295,2.2536277294769484,1.3148384120941161,64.23
296,2.2418925382111046,1.3130464681625367,64.36
297,2.2304861171602743,1.3167301006317138,64.15
298,2.2390535462375794,1.314462205696106,64.16
299,2.243897554358508,1.3149405126571656,64.65
300,2.241818941662162,1.3205463850021362,63.87
301,2.249160116216437,1.3193837069511414,64.37
302,2.2399264193985435,1.3193399036407472,64.18
303,2.234400169492226,1.3115393712997436,64.6
304,2.23515429280021,1.3112355133056641,64.37
305,2.229505291516283,1.287330133342743,64.83
306,2.235774890256142,1.2969458667755127,64.96
307,2.240720149802185,1.317965460205078,64.38
308,2.2345267975376144,1.2842252580642701,64.81
309,2.2344366859992855,1.294653105354309,65.05
310,2.2386368984754808,1.296401336479187,65.13
311,2.236569986605919,1.2994820197105408,64.97
312,2.2289123095562453,1.3060050042152405,64.78
313,2.2395358404643098,1.311445122051239,64.51
314,2.2309197408746972,1.3021612794876098,64.92
315,2.2311949307115677,1.2909125413894653,65.04
316,2.2313253543746305,1.299705518436432,64.64
317,2.233517653047657,1.306622325515747,64.43
318,2.2282329726005488,1.3017994482040405,64.53
319,2.2268944761969824,1.3070229643821716,64.9
320,2.22929602365335,1.302928560066223,64.9
321,2.226914180378297,1.2942723823547364,65.02
322,2.232325867715169,1.3044770792007447,64.49
323,2.2295554088721965,1.2950726713180543,64.86
324,2.2197059266240586,1.3011393598556518,64.94
325,2.2308967989629727,1.2930052781105041,64.9
326,2.2245761136239377,1.293996216583252,65.12
327,2.226074979186211,1.3250196681976318,63.94
328,2.223009203216025,1.3030555585861205,64.94
329,2.2169188969266553,1.3067169818878175,64.67
330,2.227982900664687,1.2923297569274903,65.02
331,2.214793878236592,1.2927058485031129,65.06
332,2.227427363853601,1.289823467731476,64.91
333,2.2172415244289305,1.2899806964874267,64.93
334,2.226331813539952,1.2914986366271972,64.7
335,2.2202249391436117,1.2721630266189574,65.44
336,2.21934606064297,1.3042635438919068,65.12
337,2.2138045032564717,1.2930656103134155,65.17
338,2.2197110370545627,1.2771117802619933,65.33
339,2.216271810128655,1.2930824798583984,64.91
340,2.214888016331974,1.2817498099327087,64.86
341,2.2161643202875703,1.2972176666259765,65.07
342,2.2174727045161777,1.2898639045715332,64.93
343,2.222211675515706,1.3185931755065918,64.86
344,2.21402775188109,1.2853697326660156,65.28
345,2.213871781560431,1.2725211941719055,65.82
346,2.2119228189641778,1.2869047637939452,65.45
347,2.2158164695649387,1.2845272176742553,65.27
348,2.2065298545070555,1.2834432338714599,65.06
349,2.21592077280892,1.2841311928749084,65.47
350,2.2116100565266823,1.282769988822937,65.62
351,2.2060975228625894,1.2921094348907471,64.82
352,2.2103908777847487,1.287700038909912,65.2
353,2.2149561654285037,1.2670138211250306,65.24
354,2.2158067545420685,1.2839466608047485,65.35
355,2.204388241609141,1.2874344682693482,65.46
356,2.2151180981979173,1.2764515388488769,65.67
357,2.2069087277301294,1.2779535397529602,64.96
358,2.2022953804262775,1.2664367877960205,65.61
359,2.1980263011556276,1.2885716210365294,65.21
360,2.204055135289777,1.287899541759491,65.03
361,2.2061309670974594,1.279022289276123,65.59
362,2.200797931638173,1.2872644419670105,64.83
363,2.206600176234862,1.2803312876701356,65.16
364,2.2018010304923554,1.2774123664855956,65.08
365,2.202560794490858,1.2891067245483399,65.18
366,2.2012456899721093,1.2760032691955567,64.92
367,2.204151981313464,1.2746916041374206,65.4
368,2.200708278773231,1.2851741260528564,65.26
369,2.200709447512706,1.285542802810669,65.21
370,2.2077515627449515,1.2798470893859863,65.38
371,2.201930161017004,1.276890733909607,65.26
372,2.2042779769848617,1.285796543598175,65.07
373,2.2027359604072325,1.278810733985901,65.31
374,2.202032668031895,1.2888189295768737,64.75
375,2.1982714320877603,1.2740035366058349,65.17
376,2.1999863256412953,1.2729426622390747,65.24
377,2.1996792122893387,1.2775656336784362,65.3
378,2.196283091350951,1.2823306198120117,65.3
379,2.189909567600939,1.2712666152954102,65.22
380,2.199243150660995,1.2697663850784302,65.66
381,2.1936202794122637,1.2776240073204042,65.43
382,2.199926108160031,1.2745219233512879,65.33
383,2.1972452461643193,1.2725521878242492,65.5
384,2.1946226387414676,1.2799454213142396,65.19
385,2.1904108504479733,1.274945862197876,65.44
386,2.1940385909147664,1.2645883149147035,65.45
387,2.1903562693834,1.2803686151504516,65.48
388,2.1905277581282063,1.2748726177215577,65.51
389,2.19078481533158,1.2641295547485352,65.38
390,2.191289672778297,1.2657206858634948,65.69
391,2.1937006634115104,1.2763018379211426,65.28
392,2.186326023405859,1.2816078845977783,65.8
393,2.194450358880467,1.2686014785766602,65.77
394,2.1931383834147726,1.269004918384552,65.64
395,2.1865425889836994,1.2724068691253663,65.37
396,2.187807506391547,1.2805231208801269,64.96
397,2.1788253727704094,1.2750947289466859,65.55
398,2.186089789974247,1.2627934738159179,65.43
399,2.19464882265743,1.2789365995407105,65.48
400,2.1763397247629497,1.2677570463180543,65.43
401,2.1894658027018843,1.270225071144104,65.47
402,2.181771767124171,1.2680996957778932,65.72
403,2.176995431567887,1.2685130639076232,65.91
404,2.186647737987826,1.2721667133331298,65.61
405,2.1855492710914564,1.2730543580055236,65.61
406,2.188419675247007,1.2738489634513854,65.38
407,2.1865884775388866,1.2647654399871826,65.65
408,2.1787853303547857,1.2593331003189088,65.82
409,2.189312766669807,1.2714811566352844,65.7
410,2.1770327909349936,1.2748495203971864,65.47
411,2.181574149565263,1.2655720358848572,65.58
412,2.1828134319388455,1.274069392490387,65.57
413,2.1756602507394653,1.2679907330513,65.63
414,2.1819335336721815,1.267646940422058,65.72
415,2.180525866421786,1.2636525867462158,66.55
416,2.1704100553571184,1.254929900932312,65.57
417,2.186141540695855,1.2525063240051268,65.84
418,2.1783047708445413,1.2577930168151856,65.85
419,2.1715687888837807,1.2648695059776307,65.7
420,2.178065115602618,1.2656592638969422,65.82
421,2.1758603524612252,1.2633132565498353,66.04
422,2.1859923740049942,1.2579206745147704,65.81
423,2.1747996280501654,1.2633445753097534,65.58
424,2.1734948568856978,1.2705198143005372,65.38
425,2.177818644062047,1.2647426651000977,65.32
426,2.1681317657270442,1.2638927347183229,66.13
427,2.1699928758086378,1.2576249980926513,66.21
428,2.1806031924966964,1.2739534732818603,66.03
429,2.1744786505509888,1.265192230606079,65.5
430,2.169329800465348,1.2642644298553467,65.8
431,2.1585627018871136,1.2544818740844728,65.59
432,2.1712348977063285,1.2592072057724,65.61
433,2.1686142615869013,1.258268596458435,66.14
434,2.1724670655290845,1.2624181119918823,65.9
435,2.172492898380558,1.2649783606529237,66.25
436,2.1671884760508617,1.272680246925354,65.49
437,2.169907588812209,1.2688424244880676,65.8
438,2.1749278624445467,1.2535129167556762,66.22
439,2.1621139098373785,1.259437650680542,65.96
440,2.168942836579532,1.261413039779663,65.63
441,2.1735808196049495,1.2624880149841309,65.45
442,2.1727500019854986,1.257129948425293,65.98
443,2.1638687410977373,1.2580757623672485,65.96
444,2.1692072594211593,1.2696013740539551,65.44
445,2.155035528117044,1.258002250099182,65.72
446,2.1628943026905327,1.256488792037964,66.09
447,2.1629354076104645,1.2583200163841248,65.68
448,2.1706032969734887,1.2579573080062867,66.05
449,2.1632795434602548,1.2495296912193299,65.85
450,2.1696463540940525,1.2591284628868102,65.81
451,2.1568056010711514,1.2698225843429565,65.62
452,2.164252050707496,1.258871397304535,66.11
453,2.161130952774028,1.260704484462738,65.4
454,2.162143608977334,1.2621550359725953,65.8
455,2.1580273770797573,1.255630811882019,65.52
456,2.167860088214068,1.2544993468284606,65.92
457,2.1645528013971793,1.2572654896736144,66.15
458,2.15872914125611,1.2602251160621643,66.01
459,2.1574090790962286,1.2554987260818482,65.87
460,2.1613172191969108,1.2583626934051513,65.97
461,2.1611131881476977,1.2508456318855286,66.06
462,2.163147405839302,1.2619411767005921,66.07
463,2.1618310554995275,1.2571924337387086,65.68
464,2.1592023305489985,1.2521017845153808,66.18
465,2.1618894489718157,1.2529971900939942,66.54
466,2.1590120896181895,1.2446942903518676,66.12
467,2.165931733408597,1.2629355249404908,66.0
468,2.161775051097406,1.2543527853012084,65.76
469,2.1619238688606917,1.2574184818267822,65.92
470,2.1517999256160896,1.2540089488983155,65.94
471,2.1524877174257773,1.2503719582557677,66.31
